input	target
Àwọn ayò àti àwọn eré-àṣenọjú	Games and amusements
Àtòjọ ID pánẹ́́ẹ̀lì	Panel ID list
Ó kùnà láti ṣí ìṣàfihàn Ètò Fèrèsé X 's	Failed to open X Window System display 's
Àwọn Àkọsílẹ̀ Àìpẹ̀	Recent Documents
Ṣí fèrèsé ìtàn	Open the history window
Ó kùnà láti ki àwòrán s	Failed to load applet s
Western Windows-1252related	Western Windows-1252
Ti fèrèsé ìtàn náà	Close the history window
Níbì tí a ti máà gba kúkì.Àwọn fálù tó lè̀jẹ́ ni ibikíbi,gbàgede lọ́wọ́ĺọ́wọ́ àti àìsí-níbikíbi.	Where to accept cookies from.Possible values are anywhere,current site and nowhere.
Lo àwọn ìrísí-lẹ́tà rẹ	Use GNOME fonts
Rọ́ọ̀nù Ìṣàmúlò-ètò nípa títẹ àṣẹ	Run an application by typing a command or choosing from a list
Ìparí sáà lọ́wọ́lọ́wọ́	End of current session
Yan Gbogbo Wọn	Select All
Gbagbára iṣẹ́ ìdarí JavaScript lórí chrome fèrèsé.	Disable JavaScript's control over window chrome.
Kàn si wá ní	Contact us at
Iye àwọnààyè-iṣẹ́	Number of workspaces
Orúkọ Òǹlò	User Name
Tó bá jẹ́ òótọ́,òǹlò náà lè má gbé ápúlẹ́ẹ̀tì láì jẹ́ pé ó kọ́kọ́ ṣí nǹkan tó ń lo Má tìí wùnrẹ̀n-àtòjọ-ẹ̀yàn.	If true,the user may not move the applet without first unlocking the object using the Unlock menuitem.
Vietnamese VPS	Vietnamese VPS
Fi àká̀-irinṣẹ́ hàn tàbí kí o fi pamọ́	Show or hide toolbar
Níbo Ni Ẹja Ọ̀dẹ̀ Yẹn Tiwá	From Whence That Stupid Fish Came
Á Parí Iṣẹ́ Ní	Expires On
Ṣàyẹ̀wò Sítàì-ṣiìtì.	Edit Stylesheet x2026
Pánẹ́ẹ̀lì náà bá ìṣòro pàdé nígbà tó ń ki s.	The panel encountered a problem while loading s.
Yan gbogbo ojú-ìwé náà	Select the entire page
páálí ìwé 's' kì ṣè nkan déédé tàbí amọnà	File 's' is not a regular file or directory.
Áíkànnù tí a lò fún bọ́tìnì nǹkan	Icon used for button
Áíkànnù àṣẹ	Command icon
Lo ìyítumọ̀ tí àkọsílẹ̀ náà sọ ní pàtó	Use the encoding specified by the document
Lo àwọn ìrísí-lẹ́tà rẹ	Use GNOME fonts
Atọ́nà àkójọpọ̀-ìròyìn tí a óó lò nínú àpẹẹrẹ aládàáni	Profile directory to use in the private instance
s Ẹja náà,aríran	s the Fish,the fortune teller
Líǹkì Àmì-ìwé.	Bookmark Link…
Àkópọ̀-ìròyìn Mozilla s	Mozilla s profile
Ìdádúró ìpamọ́-aládàaṣe pánẹ́ẹ̀lì	Panel autohide delay
Orúkọ Tó Wọ́pọ̀	Common Name
Lẹ agbàròyìn dúró náà	Paste the clipboard
Darapọ̀ mọ́ sáfà tó jìn	Connect to a remote computer or shared disk
Fi Àwòrán Pamọ́ Gẹ́gẹ́ bíi	Save Image As…
Ìpín Fèrèsé	Window Grouping
Àwọn ojú-ìwé wẹ́ẹ̀bù	Web pages
Ṣẹ̀dà Àdírẹ̀sì Líǹkì	Copy Link Address
Àṣìṣe kíkà ìwé 's' s	Error cannot find file id 's
Ìlò bọ́tìnì yìí nínú GNOME 2.6 ti kúrò láṣà.fún 'ìgúnrégé' bọ́tìnì.A tọ́jú ìtọsẹ̀ náà fún ìbámu pẹ̀lú àwọn ẹ̀yà tó ti pẹ́.	The use of this key was deprecated in GNOME 2.6 in favour of the 'format' key.The schema is retained for compatibility with older versions.
ID fáìlì ojú-iṣẹ́ àìfẹsẹmúlẹ̀	Invalid desktop file ID
Àwọn orúkọ àyè-iṣẹ́	Workspace names
Tẹ̀ láti wo kàlẹ́ńdà oṣù	Click to view month calendar
Ààtò-ìgasí Ìwé-ẹ̀rí	Certificate Hierarchy
Wáròyìn wẹ́ẹ̀bù náà	Browse the web
Má pín àwọn fèrèsé rárá	Never group windows
Yọọ́kúrò láti inú àkọlé yìí	Remove from this topic
Parí iṣẹ́ sáà yìí láti bẹ̀rẹ̀ gẹ́gẹ́ bíi òǹlò mìíràn tàbí kí o pa kọ̀ǹpútà náà	Log out s of this session to log in as a different user
A kò ṣègbékalẹ̀ bọ́tìnì s,kò lè ki aṣàfilọ̀lẹ̀	Launcher location is not set,cannot load launcher
Pa Àká-irinṣẹ́ Jẹ	Delete Toolbar
Fálù tó jẹmọ́ ipa tó dálé atọ́nà datadirpixmaps ni èyí.Àwọn ẹ̀ka-atọ́nà àti àwọn orúkọ àwòrán jẹ́ àwọn fálù tó fẹsẹ̀múlẹ̀.Ìyípadà fálù yìí á kan ìbẹ̀rẹ̀ iṣẹ́ sáà tókàn.	This is a relative path value based off the datadirpixmaps directory.Sub-directories and image names are valid values.Changing this value will effect the next session login.
kò sí orúkọ	No name
a b e	a b e
Gbé àwọn àmì-ìwé lọ sínú fáìlì	Export bookmarks to a file
Ṣí Àwòrán	View Image
Yan àpótí yìí láti rọ́ọ̀nù àṣẹ nínú fèrè̀̀̀̀̀̀sé támínà.	Select this box to run the command in a terminal window.
Àwọn ìṣàmúlò-ètò gíráfíìsì	Graphics applications
Ìjáde ipá	Force quit
Ti nǹkan sínú pánẹ́ẹ̀lì	Lock the object to the panel
Àtòjọ àwọn ID ápúlẹ́ẹ̀tì pánẹ́ẹ̀lì.ID kọ̀ọ̀kan ń tọ́ka sí nǹkan pánẹ́ẹ̀lì kọ̀ọ̀kan b.a.aṣàfilọ́lẹ̀,bọ́tìnì iṣẹ́ tàbí àkábọ́tìnì àtòjọ-ẹ̀yàn.A fi àwọn ààtò fún àwọn nǹkankọ̀ọ̀kan pamọ́ sínú appspanelobjects id.	A list of panel object IDs.Each ID identifies an individual panel object e.g.an applet,launcher,action button or menu buttonbar.The settings for each of these objects are stored in appspanelobjects id.
Gbé àwọn àmì-ìwé wọlé láti inú fáìlì	Import Bookmarks from File
Yọ táàbù lọ́wọ́lọ́wọ́	Detach current tab
A,B d Y	A,B d Y
Kíki s.	Loading s…
Pípa ìtàn ìwáròyìn náà rẹ́ yóò mú ìpajẹ bá gbogbo àwọn líǹkì ìtàn ráúráú.	Clearing the browsing history will cause all history links to be permanently deleted.
Ìwọ̀n Déédéé	Normal Size
Yọọ́kúrò nínú Àká-irinṣẹ́	Remove from overview
Kí fáìlì sáà náà	Load the given session file
kò sí URL láti pilẹ síwájú	No URL to launch
Kò lè mú siṣẹ́ 's' Àwọn Àlàyé s	Unable to execute 's's
Àwọn róòlù nínú ìjánu-ìsún ààyè-iṣẹ́	Rows in workspace switcher
Fi Àwòrán Pamọ́ Gẹ́gẹ́ bíiFrench France	Save Image As
Orúkọ láti dá pánẹ́ẹ̀lì mọ̀	Name to identify panel
Pa pánẹ́ẹ̀lì yìí jẹ	Cannot create initial panel layout.
Thai TIS-620	Thai TIS-620
Gbogbo àwọn férèmù nínú ìṣàfarawé kọ̀ǹpútà	Total frames in animation
Kọ́dínéètì X pánẹ́ẹ̀lì	X co-ordinate of panel
Ààyè fáìlì àwòrán tí a lò gẹ́gẹ́ bíi áíkànnù fún bọ́tìnì nǹkan náà.bọ́tìnì yìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bá jẹ́ nǹkan-dúrọ́wà tàbí nǹkan àtòjọ-ẹ̀yàn tí bọ́tìnì áíkànnùàkànṣeìlò jẹ́ òótọ́.	The location of the image file used as the icon for the object's button.If empty,the default icon for the menu will be used.
Á̀mì-àṣírí Òǹlò	Master password needed
kìí ṣe irú nkan láti fi bẹrẹ	Not a launchable item
Mú àtòjọ àtòjọ-ètò inú onísọ̀rọ̀gbèsì Rọ́ọ̀nù Ìsàmúlò-ètò ṣíṣẹ	Enable program list in Run Application dialog
Yan fáìlì láti ṣàfikún àṣẹ náà.	Choose a file to append to the command.
Gbé àwọn àmì-ìwé láti inú awáròyìn mìíràn tàbí fáìlì àwọn àmì-ìwé	Import bookmarks from another browser or a bookmarks file
Ìṣàlàyé pánẹ́ẹ̀lì	Panel orientation
b d	b d
Ṣàfikún Àtòjọ-ètò Fún Ìbẹ̀rẹ̀	Add Startup Program
Tó bá jẹ́ òótọ́,a óò sọ ìtumọ̀ nǹkan náà ní àjẹmọ́ apá ọ̀tún igun pánẹ́ẹ̀lì tàbí ìsàlẹ̀ tó bá jẹ́ òòró náà.	If set to 'end',the position of the object is interpreted relative to the right or bottom if vertical edge of the panel.
Àkọ́gbéyẹ̀wò Píríǹtì	Print Preview
Ápúlẹ́ẹ̀tì alábọ̀dé kan fún ìyẹ̀wò pánẹ́ẹ̀lì GNOME-2.0	A simple applet for testing the GNOME panel
Àwọn ààtò àti àwọn ìkúndùn aládàáni	Personal settings
Darapọ̀ mọ́ Sáfà.	Connect to Server.
Àtójọ ID nǹkan pánẹ́ẹ̀lì	Panel object ID list
Vietnamese TCVN	Vietnamese TCVN
Fi Líǹkì Pamọ́ Gẹ́gẹ́ Bíi	Save Link As
Ṣàgbéwọlé fódà	Download folder
Tó bá jẹ́ òótọ́,a óò fi pánẹ́ẹ̀lì náà pamọ́ fún ra rẹ̀ sínú igun ojú kọ̀ǹpútà náà nígbà tí atọ́ka náà bá fi agbègbè pánẹ́ẹ̀lì náà sílẹ̀.Gbígbé atọ́ka náà lọ sí igun yẹn lẹ́ẹ̀kan si á fa kí pánẹ́ẹ̀lì náà tún farahàn.	If true,the panel is automatically hidden into a corner of the screen when the pointer leaves the panel area.Moving the pointer to that corner again will cause the panel to re-appear.
Fún àwọn ìtalólobó-irinṣẹ́ lágbára	Enable tooltips
Fi àká-ipò hàn tàbí kí o fi pamọ́	Show or hide statusbar
Ìlò bọ́tìnì yìí nínú GNOME 2.6 ti kúrò láṣà.fún 'ìgúnrégé' bọ́tìnì.A tọ́jú ìtọsẹ̀ náà fún ìbámu pẹ̀lú àwọn ẹ̀yà tó ti pẹ́.	The use of this key was deprecated in GNOME 2.22 with the use of an internal time configuration tool.The schema is retained for compatibility with older versions.
A ní láti pààrọ̀ omi náà Wo déètì òní	The water needs changing
Fátìrì Ápúlẹ́ẹ̀tì Ìtọpa Fèrèsé	Window Navigation Applet Factory
Tí o bá ti àkọsílẹ̀ náà ní ọ̀nàkọ́nà,wàá sọ ìròyìn náà nù.	If you close the document anyway,you will lose that information.
a d b Yfriendly timeFeb 12 1234 am	a IM p
Wá Èyí Tókàn	Find Next
Tó bá jẹ́ òótọ́,Àwọn Ìṣàmúlò-ètò Mímọ̀ tí a tòjọ nínú onísọ̀rọ̀gbèsì Rọ́ọ̀nù Ìṣàmúlò-ètòá fẹ̀ nígbà tí a bá ṣí onísọ̀rọ̀gbèsì.Bọ́tìnì yìí kàn wúlò tí bọ́tìnì àtòjọàtòjọ-ètò bá jẹ́ òótọ́.	If true,the Known Applications listing in the Run Application dialog is expanded when the dialog is opened.This key is only relevant if the enableprogramlist key is true.
Sáà Lọ́wọ́lọ́wọ́	Custom Session
Greek MacGreek	Greek MacGreek
Ṣí líǹkì nínú fèrèsé yìí	Open link in this window
Ti fèrèsé àwọn àmì-ìwé	Visibility of the downloads window
Àyọkà Kekeré si	Smaller Text
Sọ ní pàtó IID ápúlẹ́ẹ̀tì tí a fẹ́ kì	Specify an applet IID to load
Kò lè ṣẹ̀dá aṣàfilọ́lẹ̀	Could not save launcher
Ṣí líǹkì nínú fèrèsé tuntun	Open link in a new window
Dènà Àwọn Àgbéwọlé	Abort Downloads
Ṣàfihàn ìrànwọ́ àwọn àmì-ìwé	Display bookmarks help
Icelandic MacIcelandic	Icelandic MacIcelandic
Epiphany RDF	Epiphany RDF
httpwww.google.comsearch qsieUTF-8oeUTF-8	httpwww.google.comsearch qsieUTF-8oeUTF-8
Tó bá jẹ́ òótọ́,àwọn ààyè-iṣẹ́ nínú ì̀jánu-ìsún ààyè-iṣẹ́ yóò ṣàfihàn àwọn orúkọ àwọnààyè-iṣẹ́.Láì jẹ́ bẹ́ẹ̀ wọn yóò ṣàfihàn àwọn fèrèsé lórí ààyè-iṣẹ́ náà.	If true,the workspaces in the workspace switcher will display the names of the workspaces.Otherwise they will display the windows on the workspace.This setting only works when the window manager is Metacity.
Àtòjọ URL tí sọ̀ kalẹ̀ lórí rọ́ọ̀nù onísọ̀rọ̀gbèsì ní ìgúnrégé tí kò tọ̀nà d tàbí ìgùnsí d	URI list dropped on run dialog had wrong format d or length d
Yọọ́kúrò nínú Àká-irinṣẹ́	Remove from Toolbar
Ṣàfikún Àmììwé.	Add Bookmark…
Àká àtòjọ-ẹ̀yàn àkànṣe	A custom menu bar
Ìròyìn àmì-ìwé náà tí a fi hàn nínú òye olótùú náà	The bookmark information shown in the editor view
CyrillicUkrainian KOI8-U	CyrillicUkrainian KOI8-U
Tó bá jẹ́ òótọ́,Àwọn Ìṣàmúlò-ètò Mímọ̀ tí a tòjọ nínú onísọ̀rọ̀gbèsì Rọ́ọ̀nù Ìṣàmúlò-ètòá fẹ̀ nígbà tí a bá ṣí onísọ̀rọ̀gbèsì.Bọ́tìnì yìí kàn wúlò tí bọ́tìnì àtòjọàtòjọ-ètò bá jẹ́ òótọ́.	If true,the Known Applications listing in the Run Application dialog is expanded when the dialog is opened.This key is only relevant if the enableprogramlist key is true.
Wòye tàbí kí o tún àwọn àbùdá àmì-ìwé tí a yàn tò	View or modify the properties of the selected bookmark
Àṣìṣe kíki fálù àwọn róòlù-num fún Ìjánu-ìsún Ààyè-iṣẹ́ s	Error loading nums
Kò lè darapọ̀ mọ́ sáfà	Could not connect to server
Hindi MacDevanagari	Hindi MacDevanagari
Hindi MacDevanagari	Hindi MacDevanagari
nǹkan pánẹ́ẹ̀lì ti kúrò láìròtẹ́lẹ̀	Panel object has quit unexpectedly
Yan Atọ́nà	Select a Directory
Mú àwọn bọ́tìnì ìpamọ́ ṣiṣẹ́	Enable hide buttons
s Àwọn àbùdá	s Properties
Fátìrì Ápúlẹ́ẹ̀tì Ìtọpa Fèrèsé	Window Navigation Applet Factory
Japanese ISO-2022-JP	Japanese ISO-2022-JP
Gbé Àwọn Àmì-ìwé Wọlé	Import Bookmarks…
Tẹ̀ lórí fèrèsé láti mú ìṣàmúlò-ètò náà jáde pẹ̀lú ipá.Tẹ láti yọkúrò.	Click on a window to force the application to quit.To cancel press .
Ó kùnà láti ki s	Failed to load s
Croatian MacCroatian	Croatian MacCroatian
Gujarati MacGujarati	Gujarati MacGujarati
Kékeré díẹ̀Size	X Small
Baltic ISO-8859-4	Baltic ISO-8859-4
Àkójọpọ̀-ẹ̀rì Ara-ẹni	Personal Data
a b e	a b e
Ṣẹ̀dà ẹ̀yàn náà	Copy the selection
Lọ́ọ̀kì pánẹ́ẹ̀lì ìkádìí	Complete panel lockdown
Gbé àwọn àmì-ìwé wọlé láti inú fáìlì náà	Import bookmarks from the given file
Àgbékalẹ̀-ètò Píríǹtì	Page Setup
Ó yẹ kí o ti gba ẹ̀dà Ìwé-àṣẹ Gbogbo ti GNU pẹ̀lú Awáròyìn Wẹ́ẹ̀bù GNOME tí kò bá rí bẹ́ẹ̀ kọ̀wé sí Free Software Foundation,Inc.,59 Temple Place,Suite 330,Boston,MA 02111-1307 USA	You should have received a copy of the GNU General Public License along with the GNOME Web Browser if not,write to the Free Software Foundation,Inc.,51 Franklin Street,Fifth Floor,Boston,MA 02110-1301 USA
Àwọn ìṣàmúlò-ètò gíráfíìsì	Graphics applications
Àwọn písẹ́ẹ̀lì ta lè rí nígbà ìpamọ́	Visible pixels when hidden
Ṣàfihàn ìrànwọ́ ìtàn	Display history help
Àwòrán ẹ̀yìn	Background image
Fátìrì Ápúlẹ́ẹ̀tì Ìtọpa Fèrèsé	Window Navigation Applet Factory
Tó bá jẹ́ òótọ́,a óò fi pánẹ́ẹ̀lì náà pamọ́ fún ra rẹ̀ sínú igun ojú kọ̀ǹpútà náà nígbà tí atọ́ka náà bá fi agbègbè pánẹ́ẹ̀lì náà sílẹ̀.Gbígbé atọ́ka náà lọ sí igun yẹn lẹ́ẹ̀kan si á fa kí pánẹ́ẹ̀lì náà tún farahàn.	If true,the panel is automatically hidden into a corner of the screen when the pointer leaves the panel area.Moving the pointer to that corner again will cause the panel to re-appear.
Fátìrì fún àwọn ápúlẹ́ẹ̀tì ajẹmọ́ ìtọpa fèrèsé	Factory for the window navigation related applets
Àwọn Àbùdá Pánẹ́ẹ̀lì	Drawer Properties
Yí àwòrán po tí pánéẹ̀lì bá wà ní òòró	Rotate image when panel is vertical
Pa ìtàn ìwáròyìn rẹ rẹ́	Clear your browsing history
Georgian GEOSTD8	Georgian GEOSTD8
Ṣàfikún Àtòjọ-ètò Fún Ìbẹ̀rẹ̀	Add Startup Program
Àwọn Fáìlì Ìgbà Díẹ̀	Temporary Files
Àpótí ìṣàfihàn Xinerama níbi tí a ti ṣàfihàn pánẹ́ẹ̀lì náà	Xinerama monitor where the panel is displayed
Àtòjọ àwọn ìṣàmúlò-ètò àìmọ̀	List of locations
Tó bá jẹ́ ò̀ótọ́,a óò gbé àwọn bọ́tìnì sí ẹ̀̀̀gbẹ́ pánẹ́ẹ̀lì kọ̀ọ̀kan tí a lè lò láti gbé pánẹ́ẹ̀lìnáà lọ sí igun ojú kọ̀ǹpútà náà.Yóò sì fi bọ́tìnì kan tó ń ṣàfihàn sílẹ̀	If true,buttons will be placed on each side of the panel which may be used to move the panel to edge of the screen,leaving only a button showing.
Pánẹ́ẹ̀lì Àárín Òkè	Top Centered Panel
Yan àpótí yìí láti rọ́ọ̀nù àṣẹ nínú fèrè̀̀̀̀̀̀sé támínà.	Select this box to run the command in a terminal window.
Tó bá jẹ́ ò̀ótọ́,a óò gbé àwọn bọ́tìnì sí ẹ̀̀̀gbẹ́ pánẹ́ẹ̀lì kọ̀ọ̀kan tí a lè lò láti gbé pánẹ́ẹ̀lìnáà lọ sí igun ojú kọ̀ǹpútà náà.Yóò sì fi bọ́tìnì kan tó ń ṣàfihàn sílẹ̀	If true,buttons will be placed on each side of the panel which may be used to move the panel to edge of the screen,leaving only a button showing.
Arabic IBM-864	Arabic IBM-864
Gbé àwọn fèrèsé lọ sí ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ tí a kò bá fẹ̀ẹ́lójú mọ́	Move windows to current workspace when unminimized
Fi Pánẹ́ẹ̀lì Pamọ́	Hide Panel
Bọ́tìnì yìí ń sọ ní pàtó ìgúnrégé tí ápúlẹ́ẹ̀tì aago náà lò nígbà tí a gbé bọ́tìnì ìgúnrégé náàkalẹ̀ sí àkànṣe.O lè àwọn asọnípàtó ìpààrọ̀ tí ó yé strftime láti gba ìgúnrégé ní pàtó.	This key specifies the format used by the clock applet when the format key is set to custom.You can use conversion specifiers understood by strftime to obtain a specific format.See the strftime manual for more information.
Baltic ISO-8859-4	Baltic ISO-8859-4
Àkọlé Tuntun	New Topic
Tó bá jẹ́ òótọ́,ìfipamọ́ àti àìfipamọ́ pánẹ́ẹ̀lì yìí á jẹ́ ìṣàfarawé kọ̀ǹpútà.ní èyí tí kò bá fi ṣẹlẹ̀ lẹ́sẹ̀kẹsẹ̀.	If true,hiding and un-hiding of this panel will be animated rather than happening instantly.
Thai Windows-874	Thai Windows-874
Ṣí táàbù tuntun nínú fèrèsé awáròyìn tó wà nílẹ̀	Open a new tab in an existing browser window
Àwọn àtòjọ-ètò fún ìbẹ̀rẹ̀ aláfikún	Additional startup programs
Tí A Bẹ̀wò Jù	Most Visited
Kò lè gba ẹ̀yàn alábòójútó fèrèsé lórí ojú kọ̀ǹpútà d ìṣàfihàn s	Could not acquire window manager selection on screen d display s
Gba agbára lọ́wọ́ Ìjáde Ipá	Disable Force Quit
Àwọn Ìṣàmúlò-ètò Ọ́fíìsìPersonal settings	Office Applications
Rọ́ọ̀nù Ìṣàmúlò-ètò nípa títẹ àṣẹ	Run an application by typing a command or choosing from a list
Arabic ISO-8859-6	Arabic ISO-8859-6
Fi déètì hàn nínú aago	Show date in clock
toolbar style	Text below icons
Turkish Windows-1254	Turkish Windows-1254
lMS p	lMS p
Àwọn àmì-ìwé GaleonKonqueror	GaleonKonqueror bookmarks
Àtòjọ URL tí sọ̀ kalẹ̀ lórí rọ́ọ̀nù onísọ̀rọ̀gbèsì ní ìgúnrégé tí kò tọ̀nà d tàbí ìgùnsí d	URI list dropped on run dialog had wrong format d or length d
Tó bá jẹ́ òótọ́,òǹlò náà lè má gbé ápúlẹ́ẹ̀tì láì jẹ́ pé ó kọ́kọ́ ṣí nǹkan tó ń lo Má tìí wùnrẹ̀n-àtòjọ-ẹ̀yàn.	If true,the user may not move the applet without first unlocking the object using the Unlock menuitem.
Wáròyìn ní ojú kọ̀ǹpútà kíkún	Press s to exit fullscreen
lM p	lM p
Líǹkì àmì-ìwé s	Bookmark link s
Ṣàgbéwọlé fáìlì yìí	Download this file
Tẹ̀ láti wo àwọn àdéhùn-ìpàdé àti àwọn iṣẹ́ rẹ	Click to hide your appointments and tasks
