input	target
Korean ISO-2022-KR	Korean ISO-2022-KR
If you close the document anyway,you will lose that information.	Ọ bụrụ na imechie dọkumenti ebe ọbụla,ozi ahụ ga-efunahụ gị.
The format of file dates.Possible values are locale,iso,and informal.	Ọdịdị nke ụbọchị faịlụ.Uru dị mmenwu bụ locale,iso,na informal.
Application set a bogus NETWMPID lu	Usoroiheomume haziri bógọ́ọ̀sụ̀ NETWMPID ld
CyrillicUkrainian MacUkrainian	CyrillicUkrainian MacUkrainian
Arabic ISO-8859-6	Arabic ISO-8859-6
Browse with caret	Jiri Káréètị̀ chọgharịa
This is a demo button with a 'quit' icon	Nke a bụ demo bọtịn nwere aịkọn 'nkwụsị
Download folder	Budata nsomebefaịlụ
Display credits for the web browser creators	Gosipụta kredíìtì maka ndị nkewapụta omenchọgharị wéèbụ̀
Clear contents of Go menu and BackForward lists	Kpochaa ndịna nke Gaa menu na ndesịta azụihu ndị ahụ
Not a launchable item	Ọ bụghị ihenhọrọ dị̄ mbubata
Delete the selected history link	Hichaa nhọrọ nke agụgụala ụzọ njikọ
Keep icons sorted by trash time in rows	Desa aịkọn n'ụdị nhazi site n'aha na mpagharauhie ndị ahụ
Maximum handled files in a folder	Faịlụ nlekọta mbawanye n'ime nsomebefaịlụ
Quit Nautilus.	Kwụsị Nautilus.
Epiphany cannot quit	Igweọrụ Epiphany
Use as desktop background s	Jiri dịka okpuru desktọ́ọ̀pụ̀ 's
Bookmark the selected history link	Búùkmáàkị̀á nhọrọ nke agụgụala ụzọ njikọ
Dark GNOME	GNOME dị oji
httpwww.google.comsearch qsieUTF-8oeUTF-8	httpwww.google.co.uksearch qsieUTF-8oeUTF-8
Export Bookmarks…	Bupụ Búùkmáàks
Maximize Window	Bawanye Windo
Some files will not be displayed.	Agaghị egosi ụfọdụ faịlụ.
Other encodings	Ndenye kóòdù ndị ọzọ
Oct 00 0000 at 0000 PM	Ọkt 00 0000 na 0000 PM
Zoom Out	Zúùmù pụta
Move to Workspace Left	Kpụga na wọ́kspéèsì akaekpe
Maximize Window	Bawanye Windo
Error setting name for workspace d to s s	Ndehie na-ahazi aha maka wọ́kspéèsì d nas s
Edit Startup Program	Dezie mbido program
These files are on an Audio CD.	Faịlụ ahụ abụgḥị inyogo.
Replace the running window manager	Nsogbu dị̄ n'onyenlekọta windo
The location of the .desktop file describing the launcher.This key is only relevant if the objecttype key is launcher-object.	Ebe desktọọpụ faịlụ nà-àkọ́wá obubata.Kii a na-aba uru ma ọ bụrụ na kii objecttype bụ launcher-object.
Duplicating file 'd of 'd in B	Ihicha faịlụ ndị ahụ
Use your own colors instead of the colors the page requests.	Jiri ụcha nke gị kama iji ụcha nke ihuakwụkwọ chọrọ.
b d IM p	a d b Yfriendly timeFeb 12 1997
Other encodings	Ndenye kóòdù ndị ọzọ
Icon 's' not found	Achọtaghị aịkọn
Coordinate expression contains integer 's' which could not be parsed	Chịkọlata nkọwa nwere ịntiga 's' nke ga-agaghị enwenwu ike ntọsasị
Unicode UTF-8	Unicode UTF-8
Failed to load theme s s	Ọdịda n'ịdebata isiokwu s s
Failed to load theme s s	Ọdịda n'ịdebata isiokwu s s
Encrypted connections only	Nsụnye enkriptéèdì sọsọ
Weather Information	Ebe obubata
Visible Columns.	Mpagharaogologo ndị ahụ ahụrụanya.
Select all history links or text	Họrọ ụzọ njikọ agụgụala niile mọọbụ ngwe
CyrillicRussian IBM-866	CyrillicRussian IBM-866
Failed to load theme s s	Ọdịda n'ịdebata isiokwu s s
File format	Ọdịdị faịlụ
Edit Menus	Dezie Menu
Text Encoding	Ndenye kóòdù ngwe
Enable caret browsing mode	Jiri móòdù omenchọgharị Kárēètị̀.
Chinese Simplified GBK	Chinese Simplified GBK
GaleonKonqueror bookmarks	Búùkmáàks GaleonKonqueror
No applications selected	Usoroiheomume nke a kara chọọ
If set to true,newly opened windows will have the status bar visible.	Ọ bụrụ na a haziri ya na eziokwu,windo ndị á kà mepere ọfụụ ga-eme ka áhụ́ status báà anya.
Move backward between panels and the desktop,using a popup window	Kpụghachi azụ n'etiti pánēèlụ̀ na desktọ́ọ̀pụ̀ ya na pọpọp
South European ISO-8859-3	South European ISO-8859-3
Move windows to current workspace when unminimized	Kpụga windo ndị ahụ na wọkspeesi nọ mgbe ahụ mgbe á ná-ēpéwágá ya mpe
Manila Paper	Manịla pepa
Temporary files	Kọmputa faịlụ ebenchekwaozi nwaobere
Bookmark link s	Búùkmáàkị̀á ụzọ njikọ 's
Delete the selected history link	Hichaa nhọrọ nke agụgụala ụzọ njikọ
This name can be set if you want a custom name for the computer icon on the desktop.	A ga-ahazinwu aha a ma ọ bụrụ na ịchọrọ aha emeredịkachọrọ maka aịkọn kọmputa na desktọ́ọ̀pụ̀.
You do not have the permissions necessary to view the contents of s.	Inweghị ikike kwesịrịnụ n'igosi ndịna nke s.
Import Bookmarks from File	Bubata búùkmáàks site na faịlụ
Page Source	Ebensinweta ihuakwụkwọ
The list view encountered an error.	Ngosi s ahụ banyere na ndehie mgbe ọ na-ebido.
Automatically hide panel into corner	O ji aka ya zóó paneelụ n'ime kọna
Fish Preferences	Azụ nkarachọ
Hebrew IBM-862	Hebrew IBM-862
Force Quit	Nwepụ n'ike
Unicode UTF-32 BE	Unicode UTF-32 BE
Whether to ask for confirmation when deleting files,or emptying Trash	Ma ọ bụ ka a jụọ maka nkwepụta mgbe a na-akpụga faịlụ ndị ahụ n'ebemkpofuozi
Keep icons sorted by emblems in rows	Desa aịkọn n'ụdị nhazi site n'akara na mpagharauhie ndị ahụ
The desktop view encountered an error.	Ngosi s ahụ banyere na ndehie mgbe ọ na-ebido.
httpwww.google.comsearch qsamp ieUTF-8amp oeUTF-8	httpwww.google.co.uksearch qsieUTF-8oeUTF-8
Failed to load s	Ndebata dàrà àdà s s
Whether to ask for confirmation when deleting files,or emptying Trash	Ma ọ bụ ka a jụọ maka nkwepụta mgbe a na-akpụga faịlụ ndị ahụ n'ebemkpofuozi
If set to true,and the focus mode is either sloppy or mouse then the focused window will be automatically raised after a delay specified by the autoraisedelay key.This is not related to clicking on a window to raise it,nor to entering a window during drag-and-drop.	Ọ bụrụ na ọ bu eziokwu,nakwa fókọ́ọ̀sụ̀ móòdù ahụ nwereike bụrụ sloppy mọọbụ mouse mgbe ahụ windo fókọ́ọ̀sụ̀ ga eji aka ya welite onwe ya n'ogbugbu oge ahụ Ezipụtara ogbugbu oge ahụ site na kíì autoraisedelay.
Include NoDisplaytrue entries	Gbakwunye mbanye ahụ
S more space is required to copy to the destination.	Enweghị ohere n'ụlọ.
Session management options	Ihenhọrọ ogemmem
hour format	Nhazi Elekere
Cyrillic KOI8-R	Cyrillic KOI8-R
Central European ISO-8859-2	Central European ISO-8859-2
The list view encountered an error.	Ngosi s ahụ banyere na ndehie mgbe ọ na-ebido.
Include a Delete command that bypasses Trash	Tinye ntiiwu nhicha nke na-agafere ebemkpofuozi
GConf key s is set to an invalid type	Kíì GCon s ka ekpokọtara n'ụdị enweghị isi
Access was denied.	Ekweghị mbanye ahụ.foo
Western ISO-8859-15	Western ISO-8859-15
An unknown error occurred while trying to open s.	Ndehie a na-amaghị pụtara mgbe a na-achọ imepe s
Oct 00 0000 at 0000 PM	Ọkt 00 0000 na 0000 PM
The name of a workspace.	Aha wọ́kspéèsì.
These windows do not support save current setupquot and will have to be restarted manually next time you log in.	Windo ndị a anaghị akwado save current setup ma a ga-ebidogharịa ya n'aka mgbe ọzọ ị banyere.
File format	Ọdịdị faịlụ
CyrillicUkrainian MacUkrainian	CyrillicUkrainian MacUkrainian
Page title	Isiokwu ihuakwụkwọ
The name s is not valid.Please use a different name.	Aha ahụ s enweghị isi.Biko jiri aha ọzọ.
Default zoom level	Ógó zum dìfọ́ọ̀ltụ̀
Log out s of this session to log in as a different user	Pụta n'agbanke a ka ịbanye dịka ojieme dị iche mọọbụ ịgbanyụcha kọmputa ahụ
The folder B cannot be deleted because you do not have permissions to read it.	s agaghị enwenwu ike idebata ya maka na inweghị ikikere iwepụtaozi ahụ.
Moving B to B	Ibagharị aha s to s.
Panel object ID list	Ndesịta ID ọbjektị paneelụ
FTP with login	FTP ya na mbanye
Arabic ISO-8859-6	Arabic ISO-8859-6
File format	Ọdịdị faịlụ
Failed to load theme s s	Ọdịda n'ịdebata isiokwu s s
These windows do not support save current setupquot and will have to be restarted manually next time you log in.	Windo ndị a anaghị akwado save current setup ma a ga-ebidogharịa ya n'aka mgbe ọzọ ị banyere.
Restore each selected icon to its original size	Weghachi aịkọn nke ọbụla a họọrọla n'ụhara nke izizi ya
Unable to create a required folder.Please create the following folder,s	Tupuu ibido Nautilus,biko kewapụta nsomebefaịlụ na-esonụ,mọọbụ hazie ikike n'ụzọ nautilus ga-ekewapụtanwu ya.
Paste the clipboard	Mapanye òchékwáōzím̀gbèńtà
Cyrillic KOI8-R	Cyrillic KOI8-R
Display bookmarks help	Gosipụta Nnyemaka búùkmáàks
Connect to server	Sụnye na Sava.
Delete Permanently	Hichaa ozugbo
Include a Delete command that bypasses Trash	Tinye ntiiwu nhicha nke na-agafere ebemkpofuozi
Fatal IO error d s on display 's'.	Ndehie IO nwere ike ibute nsogbu d s na ngosi 's'.
The folder B cannot be copied because you do not have permissions to create it in the destination.	s agaghị enwenwu ike idebata ya maka na inweghị ikikere iwepụtaozi ahụ.
Download folder	Budata nsomebefaịlụ
Clear browsing history	Wepụ nchọgharị agụgụala
All executable files in this folder will appear in the Scripts menu.	Faịlụ niile ndị dị̄ mbido n'ime nsomebefaịlụ a ga-apụta n'ihendesịta menu.
Sound Video	Ụda na Vidio
By Modification Date	Site Ụbọchị mmegharị
Automatically open downloaded files	O ji aka ya budata ma mepee faịlụ ndị ahụ
If set to true,Nautilus will only show folders in the tree side pane.Otherwise it will show both folders and files.	Ọ bụrụ na a haziri ya na eziokwu,Nautilus ga-egosi sọsọ nsomebefaịlụ ndị ahụ na tríì saịd pen.Kama ọ ga-egosi nsomebefaịlụ na faịlụ ndị ahụ.
Keep icons sorted by trash time in rows	Desa aịkọn n'ụdị nhazi site n'aha na mpagharauhie ndị ahụ
Show the date and time column	Gosi ma isiokwu ma mpagharaogologo ngosi ebe
There was an error displaying help.	Enwere ndehie mgbe a na-egosi nnyemaka.
Not a launchable item	Ọ bụghị ihenhọrọ dị̄ mbubata
Local File Only	Faịlụ keụlọ sọsọ
Mount the volume associated with this folder	Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Could not create a temporary directory in s.	Ọdịda n'ikewapụta ebenlereanya s.
Epiphany can't be used now.Initialization failed.	Agaghị ejinwu Epiphany arụnwu ọrụ ugbua.Mbido Mozilla dara ada.
Browse and organize your bookmarks	Chọgharịa ma hazie búùkmáàks gị
Open the selected bookmark in a new window	Mepee búùkmáàkị̀ nke ahụ a họọrọ na windo ọfụụ
Rename the selected bookmark or topic	Bagharịa aha búùkmáàkị̀ mọọbụ isiokwu nke ahụ a họọrọ
Bookmark the selected history link	Búùkmáàkị̀á nhọrọ nke agụgụala ụzọ njikọ
Additional safe protocols	Séèfù protokọ́ọ̀lụ̀ ndị agbakwunyere agbakwunye
Move window to workspace 9	Kpụga windo na 9 wọ́kspēèsì
Visible Columns.	Mpagharaogologo ndị ahụ ahụrụanya.
The file s exists.Please move it out of the way.	s n'arụ ọrụ,biko kpụghapụ ya n'ụzọ.
Specifies the number of pixels visible when the panel is automatically hidden into a corner.This key is only relevant if the autohide key is true.	Na-ezipụta ọnụọgụgụ nke mmebereinyogo ahụrụ anya mgbe paneelụ ji aka ya zoghzrịa onwe ya n'otu kọna.Kii a sọsọ bara uru ma ọ buru na kii autohide bụ eziokwu.
Show on Toolbar	Gosi mọọbụ zòó tulbáà
Create a new folder 's	Kewapụta omembubata ọfụụ
File format	Ọdịdị faịlụ
If set to true,then Nautilus will use the user's home folder as the desktop.If it is false,then it will use Desktop as the desktop.	Ọ bụrụ na a haziri ya na eziokwu,Nautilus ga-eji nsomebefaịlụ ụlọ nke ojieme dịka desktọ́ọ̀pụ̀.Ọ bụrụ na ọ bụ àsị́,mgbe ahụ ọ ga-eji Desktọ́ọ̀pụ̀ dịka desktọ́ọ̀pụ̀.
If true,labels will be placed beside icons rather than underneath them.	Ọ bụrụ na ọ bụ eziokwu,a ga-edesa ihengosi ndị ahụ n'akụkụ aịkọn kama ịdesa ha n'okpuru.
Color for the default folder background.Only used if backgroundset is true.	Ahafaịlụ maka okpuru nsomebe faịlụ dìfọ́ọ̀ltụ̀.A na-eji ya ma ọ bụrụ na okpurunhazi bụ eziokwu.
Sort folders before files	Hazie nsomebefaịlụ ndị ahụ tupuu faịlụ ndị ahụ
If you close the document anyway,you will lose that information.	Ọ bụrụ na imechie dọkumenti ebe ọbụla,ozi ahụ ga-efunahụ gị.
Epiphany can't be used now.Initialization failed.	Agaghị ejinwu Epiphany arụnwu ọrụ ugbua.Mbido Mozilla dara ada.
Search for Files.	Chọọ faịlụ.
Open this folder in a folder window	Mepee faịlụ ma Mechie windo
Switch to workspace above the current workspace	Banye na wọ́kspéèsì n'elu nke a
Move the current selection to the other pane in the window	Mepee ihenhọrọ nke ahụ a họrọla na windo a
Enter a web address to open,or a phrase to search for	Pịnye ngosi ebe wéèbụ̀́ ka o mepee,mọọbụ nkebiokwu ị ga-achọ na ya n'ime wéèbụ̀ ahụ
Sorry,could not change the owner of s s	Ndọ,Agbanwenwughị ónyénwē nke s.
Open the bookmarks in this topic in new tabs	Mepee búùkmáàkị̀ nke ahụ a họọrọ na táàbụ̀ ọfụụ
Free space	Ohere a hapụrụno readno access
Automatic downloads	Mbubata nkeonwe
Enable caret browsing mode	Jiri móòdù omenchọgharị Kárēètị̀.
Nearby Sites	Ahazighi ya
Specifies the number of pixels visible when the panel is automatically hidden into a corner.This key is only relevant if the autohide key is true.	Na-ezipụta ọnụọgụgụ nke mmebereinyogo ahụrụ anya mgbe paneelụ ji aka ya zoghzrịa onwe ya n'otu kọna.Kii a sọsọ bara uru ma ọ buru na kii autohide bụ eziokwu.
s Properties	s Ngwaọrụ
Where to accept cookies from.Possible values are anywhere,current site and nowhere.	Ebe a ga esi nabata kukiis.Pọsịbụl valius bụ anywhere,current site and nowhere.
Create Launcher	Kewapụta obubata
Moving Files	Ikpụgha faịlụ ndị ahụ
Include NoDisplaytrue entries	Gbakwunye mbanye ahụ
Always accept	Na-anabata mgbe ọbụla
metacity-theme-viewer THEMENAME	Njieme omengosi-isiokwu-metacity THEMENAME
Open the bookmarks in this topic in new tabs	Mepee búùkmáàkị̀ nke ahụ a họọrọ na táàbụ̀ ọfụụ
By Size	Site n'ụhara
Delete the selected history link	Hichaa nhọrọ nke agụgụala ụzọ njikọ
There was an error reading the folder B.	Enwere ndehie mgbe a na-egosi nnyemaka.
If you close the document anyway,you will lose that information.	Ọ bụrụ na imechie dọkumenti ebe ọbụla,ozi ahụ ga-efunahụ gị.
When a drawer is deleted,the drawer and its settings are lost.	Mgbe ehichara drọwa,drọwa na nhazi ya ga-efu.
UNIX time	Oge UNIX
Show in folder	Gosi mọọbụ zòó tulbáà
Could not display help document	Agaghị egosinwu nnyemaka dọkumenti
b d IM p	a d b Yfriendly timeFeb 12 1997
Add Bookmark…	Tinye Búùkmáàkị̀
The list view encountered an error.	Ngosi s ahụ banyere na ndehie mgbe ọ na-ebido.
Add Bookmark…	Tinye Búùkmáàkị̀
The icon view encountered an error.	Ngosi s ahụ banyere na ndehie mgbe ọ na-ebido.
Go to the home page	Gaa n'ihu inyogo
Mount the volume associated with this folder	Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Personal Data	Data nkeonwe
Check that the spelling is correct and that your proxy settings are correct.	Lee ma nsụpe ọdabara nakwa ma nhazi mgbanwe gị ọdabakwara.
There was an error displaying help.	Enwere ndehie mgbe a na-egosi nnyemaka.
Other encodings	Ndenye kóòdù ndị ọzọ
If true,tooltips are shown for objects in panels.	Ọ bụrụ na ọ bụ eziokwu,a ga-egosi tuultip maka ọbjektị nọ na paneelụ.
Toolbar Editor	Odezi Tulbáà
If true,the fish's animation will be displayed rotated on vertical panels.	Ọ bụrụ na ọ bụ eziokwu,e gosipụtara anịmeshiọn azụ ahụ na ntụgharị n'elu vatịkal paneelụ
Encrypted connections only	Nsụnye enkriptéèdì sọsọ
Sorry,could not change the owner of s s	Ndọ,Agbanwenwughị ónyénwē nke s.
Octal Permissions	Ikikere ọ́ktààlụ̀
Whether to ask for confirmation when deleting files,or emptying Trash	Ma ọ bụ ka a jụọ maka nkwepụta mgbe a na-akpụga faịlụ ndị ahụ n'ebemkpofuozi
Always accept	Na-anabata mgbe ọbụla
Show the date and time column	Gosi ma isiokwu ma mpagharaogologo ngosi ebe
Thai Windows-874	Thai Windows-874
Leave Fullscreen	Hapụ njupụta inyogo
Western ISO-8859-15	Western ISO-8859-15
Automatically hide panel into corner	O ji aka ya zóó paneelụ n'ime kọna
Empty all of the items from the trash	Ghewe ihenhọrọ niile ahụ oghe n'ime ebemkpofuozi
Force Quit	Nwepụ n'ike
Sound Video	Ụda na Vidio
Edit Startup Program	Dezie mbido program
Go to the next visited page	Gaa n'ihuakwụkwọ nke ọzọ abanyegorola
Coordinate expression contains integer 's' which could not be parsed	Chịkọlata nkọwa nwere ịntiga 's' nke ga-agaghị enwenwu ike ntọsasị
Export Bookmarks	Bupụ Búùkmáàks
Display this location with the icon view.	Gosi ebe a ya na s
Create Web Application	Kewapụta isiokwu ọfụụ
Open this folder in a folder window	Mepee faịlụ ma Mechie windo
If set to true,Nautilus will only show folders in the tree side pane.Otherwise it will show both folders and files.	Ọ bụrụ na a haziri ya na eziokwu,Nautilus ga-egosi sọsọ nsomebefaịlụ ndị ahụ na tríì saịd pen.Kama ọ ga-egosi nsomebefaịlụ na faịlụ ndị ahụ.
File Management Preferences	Nlekọta faịlụ nkarachọ
Action button type	Ụdị bọtịn mmem
Some files will not be displayed.	Agaghị egosi ụfọdụ faịlụ.
Center panel on x-axis	Etiti paneelụ na x-axis
Unable to eject s	Enwenwughị ike idochi faịlụ
s will be moved if you select the Paste command	s A ga-akpụgha ya ma ọ bụrụ na ịhọrọ mmapanye faịlụ ntiiwu
The location of the .desktop file describing the launcher.This key is only relevant if the objecttype key is launcher-object.	Ebe desktọọpụ faịlụ nà-àkọ́wá obubata.Kii a na-aba uru ma ọ bụrụ na kii objecttype bụ launcher-object.
If true,the fish's animation will be displayed rotated on vertical panels.	Ọ bụrụ na ọ bụ eziokwu,e gosipụtara anịmeshiọn azụ ahụ na ntụgharị n'elu vatịkal paneelụ
Add Bookmark…	Tinye Búùkmáàkị̀
Panel object ID list	Ndesịta ID ọbjektị paneelụ
File Browser	Ome nchọgharị faịlụ
Application set a bogus NETWMPID lu	Usoroiheomume haziri bógọ́ọ̀sụ̀ NETWMPID ld
Deleting this topic will cause all its bookmarks to become uncategorized,unless they also belong to other topics.The bookmarks will not be deleted.	Nhicha isiokwu a ga-eme ka búùkmáàks ya niile dị agharata,bèélụ́ sọ̀ na ha a nọkwa n'isiokwu ndị ọzọ.Agaghị ehicha búùkmáàks ndị ahụ.
Disk space	Ohere diski
Mount the volume associated with this folder	Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
By Modification Date	Site Ụbọchị mmegharị
Could not create a temporary directory in s.	Ọdịda n'ikewapụta ebenlereanya s.
Save link with a different name	Jiri aha ọzọ chekwaa ụzọ njikọ
Copy the selection	Debata ihenhọrọ ahụ
Unicode UTF-16 BE	Unicode UTF-16 BE
Hide application windows and show the desktop	Zoo windo usoroiheomume ma gosi desktọọpụ
Edit Menus	Dezie Menu
Unable to eject location	Gaa n'ebe kọmputa
Edit Startup Program	Dezie mbido program
Open 's	Mepee 's
Deleting this topic will cause all its bookmarks to become uncategorized,unless they also belong to other topics.The bookmarks will not be deleted.	Nhicha isiokwu a ga-eme ka búùkmáàks ya niile dị agharata,bèélụ́ sọ̀ na ha a nọkwa n'isiokwu ndị ọzọ.Agaghị ehicha búùkmáàks ndị ahụ.
The list view encountered an error.	Ngosi s ahụ banyere na ndehie mgbe ọ na-ebido.
The icon view encountered an error.	Ngosi s ahụ banyere na ndehie mgbe ọ na-ebido.
The name s is not valid because it contains the character .Please use a different name.	Aha ahụ s enweghị isi maka na o nwere mkpụrụ okwu ahụ .Biko jiri aha ọzọ.
Not a launchable item	Ọ bụghị ihenhọrọ dị̄ mbubata
s will be moved if you select the Paste command	s A ga-akpụgha ya ma ọ bụrụ na ịhọrọ mmapanye faịlụ ntiiwu
South European ISO-8859-3	South European ISO-8859-3
Keep icons sorted by trash time in rows	Desa aịkọn n'ụdị nhazi site n'aha na mpagharauhie ndị ahụ
Whether to ask for confirmation when deleting files,or emptying Trash	Ma ọ bụ ka a jụọ maka nkwepụta mgbe a na-akpụga faịlụ ndị ahụ n'ebemkpofuozi
Use Default Background	Jiri Okpuru dìfọ́ọ̀ltụ̀
List of locations	Ndesịta usoroiheomume a na-amaghị
Create a new launcher	Kewapụta obubata ọfụụ
Quit Nautilus.	Kwụsị Nautilus.
Customize Toolbars…	Tulbáàzị̀ emeredịkachọrọ
Failed to load s	Ndebata dàrà àdà s s
These files are on an Audio CD.	Faịlụ ahụ abụgḥị inyogo.
Search the Web for s	Chọgharịa na wéèbụ̀
Public FTP	FTP keọ̀hà
Korean UHC	Korean UHC
WebDAV HTTP	Wéèbụ̀DAV HTTP
Today IM p	friendly timeYesterday 1234 am
The downloads folder	Nsomebefaịlụ nke mbubata ndị ahụ
b d IM p	a d b Yfriendly timeFeb 12 1997
Cyrillic KOI8-R	Cyrillic KOI8-R
Edit Menus	Dezie Menu
Could not create a temporary directory in s.	Ọdịda n'ikewapụta ebenlereanya s.
Browse with caret	Jiri Káréètị̀ chọgharịa
All executable files in this folder will appear in the Scripts menu.	Faịlụ niile ndị dị̄ mbido n'ime nsomebefaịlụ a ga-apụta n'ihendesịta menu.
Open the selected bookmark in a new window	Mepee búùkmáàkị̀ nke ahụ a họọrọ na windo ọfụụ
Session management options	Ihenhọrọ ogemmem
Vietnamese VISCII	Vietnamese VISCII
Encrypted connections only	Nsụnye enkriptéèdì sọsọ
Property s on window 0xlx contained invalid UTF-8	Ngwaọrụ s na windo 0xlx nwere UTF-8 na-enweghị isi
Sign Text	Chọ̀ọ́ nke ọzọ
Display this location with the icon view.	Gosi ebe a ya na s
Central European ISO-8859-2	Central European ISO-8859-2
By Modification Date	Site Ụbọchị mmegharị
Mount the volume associated with this folder	Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Open the selected bookmark in a new window	Mepee búùkmáàkị̀ nke ahụ a họọrọ na windo ọfụụ
The format of file dates.Possible values are locale,iso,and informal.	Ọdịdị nke ụbọchị faịlụ.Uru dị mmenwu bụ locale,iso,na informal.
Text Encoding	Ndenye kóòdù ngwe
If true,the fish's animation will be displayed rotated on vertical panels.	Ọ bụrụ na ọ bụ eziokwu,e gosipụtara anịmeshiọn azụ ahụ na ntụgharị n'elu vatịkal paneelụ
Open the bookmarks in this topic in new tabs	Mepee búùkmáàkị̀ nke ahụ a họọrọ na táàbụ̀ ọfụụ
Show on Toolbar	Gosi mọọbụ zòó tulbáà
None use system theme	Onweghị Jiri isiokwu sistem
Untitled Document	Kewapụta dọkumentị
Include a Delete command that bypasses Trash	Tinye ntiiwu nhicha nke na-agafere ebemkpofuozi
Hebrew Windows-1255	Hebrew Windows-1255
Page title	Isiokwu ihuakwụkwọ
The main GNOME menu	GNOME menu nkeisi
File Management Preferences	Nlekọta faịlụ nkarachọ
Restore each selected icon to its original size	Weghachi aịkọn nke ọbụla a họọrọla n'ụhara nke izizi ya
Nautilus uses the users home folder as the desktop	Nautilus na-eji nsomebefaịlụ ụlọ nke ndị ojieme dịka desktọ́ọ̀pụ̀
Open the selected bookmark in a new window	Mepee búùkmáàkị̀ nke ahụ a họọrọ na windo ọfụụ
Run a defined command	Bido ntiiwu a kọwara akọwa
Move backward between panels and the desktop,using a popup window	Kpụghachi azụ n'etiti pánēèlụ̀ na desktọ́ọ̀pụ̀ ya na pọpọp
Delete Permanently	Hichaa ozugbo
S more space is required to copy to the destination.	Enweghị ohere n'ụlọ.
Application set a bogus NETWMPID lu	Usoroiheomume haziri bógọ́ọ̀sụ̀ NETWMPID ld
Mount the volume associated with this folder	Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Nearby Sites	Ahazighi ya
Show the selected bookmark on a toolbar	Gosi búùkmáàkị̀ mọọbụ isiokwu a họọrọla na báà búùkmáàks
UNIX time	Oge UNIX
Enable caret browsing mode	Jiri móòdù omenchọgharị Kárēètị̀.
httpwww.google.comsearch qsamp ieUTF-8amp oeUTF-8	httpwww.google.co.uksearch qsieUTF-8oeUTF-8
Open a new browser window	Mepee windo ọfụụ
Bookmark for Nonexistent Location	Ebe ndesịta ngosi ebe maka ebe na anaghị arụ ọrụ
Other encodings	Ndenye kóòdù ndị ọzọ
httpwww.google.comsearch qsamp ieUTF-8amp oeUTF-8	httpwww.google.co.uksearch qsieUTF-8oeUTF-8
s Properties	s Ngwaọrụ
Sound Video	Ụda na Vidio
Alpha must be between 0.0 invisible and 1.0 fully opaque,was g	Alpha ga-adịrịrị n'etiti 0.0 ahụghị anya ǹchá n̄chá na 1.0 Ahụchaghị anya ọfụma,bụ g
Unable to start s	Enwenwughị ike idochi faịlụ
