input	target
Kumnandi ukuva njalo.	It's nice to hear that.
Ndandidlala iqakamba ngeentsuku zam zesikolo.	I used to play cricket in my school days.
Ukutyeba kwakhe yingxaki yakhe,ayiyo eyam.	His weight is his problem,not mine.
Ndixakeke kakhulu ukuba ndingaphendula ifowuni.	I’m too busy to answer the phone.
Umama wam uzile kodwa utata wam uhleli ekhaya.	My mother came but my father stayed at home.
UMandela uyathandwa sisizwe.	Mandela is loved by the nation.
Ndithenge izihlangu ngama-R50.	I bought shoes for R50.
Ndithenga ibhayisekile kuDavid.	I’m buying a bicycle from David.
Yayingumfana wathi abantu abakhulu abakho.	It was a young man who said that the adult people were not there.
Abakwantsasana abadinwa kukugcina ucwangco.	The police do not give up in maintaining order.
Abantwana abakhulu badlala endleleni.	The big children are playing in the street.
Umfazi wathi yena wobafundisa rhoqo abakhe abantwana.	The woman said she would always educate her own children.
Khetha abafundi abahlanu ngoku.	Choose five learners now.
Abantwana bakhona,kodwa baphi abantu abadala	The children are here,but where are the older people
Singabantu abadala apha kwaye siyancokola.	We are old people here and we’re chatting.
Kudala,abantu ababomvu babengazise so izibhedlele.	Long ago,traditional people didn’t care about hospitals.
UThomas waphakamisa intloko wabona abantu ababini.	Thomas lifted his head and saw two people.
Zama ukwaba kakhuhle ixesha.	Try to allocate time well.
Yaba iilekese.	Share the sweets.
Aba bantu badlala yiphi imidlalo	Which games do these people play
Nceda unditsalele ngelinye ixesha.	Please phone later.
Uze uzokuhlala nathi ngexesha lebhreyikhi.	Come and sit with us during break.
Hayi,kusekuhle,akukho ngxaki.	No,everything's fine,there’s no problem.
Nali ikhitshi.	Here’s the kitchen.
Molweni.Igama lam nguJabu.	Hello.My name is Jabu.
Ungazifumana isikhombi-ndawo semoski,nesecawe,nesesinagogo	Can you find the signs for the mosque,the church and the synagogue
Baya kubhatala malini ngezi ziselo ezibandayo ezimbini	How much will they pay for the two cooldrinks
Umzukulwana wam uniphathele ezi lekese.	My grandchild has brought you these sweets.
Iintaka zibhabha esibhakabhakeni.	Birds are flying in the sky.
Ndiyathemba ukuba uzolonwabela ixesha lakho apha.	I hope you enjoy your time here.
Wazala abantwana abalishumi.	She gave birth to ten children.
Ekwazini kwam abantu abalula babangamaxhoba ezifo.	To my knowledge young people become victims of diseases.
Abathengi abambalwa bazithenga iimpahla.	A few customers buy the clothes.
Bekukho abantu abambalwa elwandle namhlanje.	There were few people at the beach today.
Abantwana abamhlophe nabamnyama babekhona apho.	There were white and black children there.
Abantwana abamnyama nabo banelungelo lokuba lapha.	Black children also have the right to be here.
Wayalela abantwana abancinci ukuba bagoduke.	She instructed the small children to go home.
Inqununu ibize abantwana abane.	The principal called four children.
Abafazi abangcwele bonke babemthembile uThixo.	All the holy women trusted in God.
Ke bona abantu abangendawo baya kufa.	And those evil people will die.
Le nkqubo ebalulekileyo inceda abantu abaninzi.	This important project helps many people.
Abafundi abanjalo kumele ukuba bahlolwe.	Those kinds of students should be investigated.
Kukho abafundi abaNtsundu abafunda phesheya.	There are African students studying abroad.
Abanye abantu bahleli intlalo ebuhlungu.	Some people live under painful conditions.
Siyamthanda,kodwa abanye abantu abamthandi.	We like him,but some people don't.
Masidibane khona.	Let's meet there.
Siyonwabele iholide yethu.	We enjoyed our holiday.
Ikhefu lam liqala kwiveki ezayo.	My holiday starts next week.
Ndiya apho ilanga likhanya khona.	I’m going where the sun shines.
Ndihlala apho ikhephu likhithika khona.	I live where it snows.
Ndingakunceda Hayi,kulungile.	Can I help you No,it’s ok.
Ndivela eBhayi,ndifike kusasa.	I arrived from P.E.this morning.
Ingaba ndingasebenzisa ifowuni yakho	Can I maybe use your phone
Ndilapha iintsuku ezimbalwa.	I’m here for a few days.
Ndithemba ukuba uzofika ngoMgqibelo.	I hope she will arrive on Saturday.
Ngomso okanye ngoMgqibelo ndizobuyela eBhayi apho ndihlala khona.	Tomorrow or on Saturday I'm going back to P.E.,where I live.
